idx	template	generated_parse	sentence
0	GOLD	 (ROOT (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS kids)))) (VP (VBZ is) (VP (VP (VBG playing) (PP (IN in) (NP (DT a) (NN yard)))) (CC and) (S (NP (DT an) (JJ old) (NN man)) (VP (VBZ is) (VP (VBG standing) (PP (IN in) (NP (DT the) (NN background)))))))) (. .)))	a group of kids is playing in a yard and an old man is standing in the background .
0	( ROOT ( S ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ( . ) ) )	a group of children is playing in a yard .
0	( ROOT ( S ( VP ) ( . ) ) ) EOP	( ROOT ( S ( VP ( VP ( VB ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ( CC ) ( SBAR ( S ( NP ( DT ) ( JJ ) ( NN ) ) ( VP ( VBZ ) ( VP ( VBG ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ) ) ) ( . ) ) )	take a bunch of kids in a yard and an old man is standing in the background .
0	( ROOT ( NP ( NP ) ( . ) ) ) EOP	( ROOT ( NP ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( NNS ) ) ( VP ( VBG ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ) ) ( . ) ) )	a group of kids playing in a yard .
0	( ROOT ( FRAG ( SBAR ) ( . ) ) ) EOP	( ROOT ( FRAG ( SBAR ( IN ) ( S ( NP ( NP ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ) ) ( . ) ) )	that group of kids is playing in a yard .
0	( ROOT ( S ( S ) ( , ) ( CC ) ( S ) ( . ) ) ) EOP	( ROOT ( S ( S ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ) ( , ) ( CC ) ( S ( NP ( DT ) ( JJ ) ( NN ) ) ( VP ( VBZ ) ( VP ( VBG ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ) ( . ) ) )	a group of children is playing in a yard , and an old man is standing in the background .
0	( ROOT ( S ( LST ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( LST ( LS ) ) ( VP ( VBP ) ( SBAR ( S ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ) ) ) ( . ) ) )	i have a group of kids is playing in a yard .
0	( ROOT ( SBARQ ( WHADVP ) ( SQ ) ( . ) ) ) EOP	( ROOT ( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ( VP ( VBP ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ( . ) ) )	how does a group of kids play in the backyard ?
0	( ROOT ( S ( PP ) ( , ) ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ( , ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ( . ) ) )	in a yard , a group of kids is playing in the background .
0	( ROOT ( S ( ADVP ) ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( ADVP ( RB ) ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ( . ) ) )	now a group of children is playing in the yard .
